year,country,iosCode,flag_url,population,area,landArea,density,growthRate,worldPercentage,rank,netChange
1980,macau,MO,https://s3.amazonaws.com/images.wpr.com/flags/24/MO.png,245332.0,32.9,32.9,21402.7052,0.0129,0.0001,167,0.0003
1980,luxembourg,LU,https://s3.amazonaws.com/images.wpr.com/flags/24/LU.png,363741.0,2586.0,2574.5,254.3282,0.0111,0.0001,168,0.0002
1980,montenegro,ME,https://s3.amazonaws.com/images.wpr.com/flags/24/ME.png,589324.0,13812.0,13450.0,46.5788,-0.001,0.0001,169,0.0
1980,suriname,SR,https://s3.amazonaws.com/images.wpr.com/flags/24/SR.png,375112.0,163820.0,156000.0,3.9951,0.0084,0.0001,170,0.0002
1980,cape verde,CV,https://s3.amazonaws.com/images.wpr.com/flags/24/CV.png,317234.0,4033.0,4033.0,148.4458,0.0093,0.0001,171,0.0002
1980,western sahara,EH,https://s3.amazonaws.com/images.wpr.com/flags/24/EH.png,116775.0,266000.0,266000.0,2.2077,0.0196,0.0001,172,0.0004
1980,malta,MT,https://s3.amazonaws.com/images.wpr.com/flags/24/MT.png,333587.0,316.0,320.0,1672.075,0.0033,0.0001,173,0.0001
1980,maldives,MV,https://s3.amazonaws.com/images.wpr.com/flags/24/MV.png,164887.0,300.0,300.0,1736.7367,-0.0053,0.0001,174,-0.0001
1980,brunei,BN,https://s3.amazonaws.com/images.wpr.com/flags/24/BN.png,187921.0,5765.0,5270.0,85.8679,0.0078,0.0001,175,0.0001
1980,bahamas,BS,https://s3.amazonaws.com/images.wpr.com/flags/24/BS.png,223752.0,13943.0,10010.0,41.2211,0.0064,0.0001,176,0.0001
1980,belize,BZ,https://s3.amazonaws.com/images.wpr.com/flags/24/BZ.png,145133.0,22966.0,22810.0,18.0107,0.0137,0.0001,177,0.0002
1980,guadeloupe,GP,https://s3.amazonaws.com/images.wpr.com/flags/24/GP.png,334234.0,1628.0,1628.0,243.1443,0.0002,0.0,178,0.0
1980,iceland,IS,https://s3.amazonaws.com/images.wpr.com/flags/24/IS.png,228263.0,103000.0,100830.0,3.7223,0.0065,0.0,179,0.0001
1980,martinique,MQ,https://s3.amazonaws.com/images.wpr.com/flags/24/MQ.png,333786.0,1128.0,1128.0,325.3378,-0.0014,0.0,180,0.0
1980,mayotte,YT,https://s3.amazonaws.com/images.wpr.com/flags/24/YT.png,52233.0,374.0,374.0,898.3824,0.0303,0.0,181,0.0003
1980,vanuatu,VU,https://s3.amazonaws.com/images.wpr.com/flags/24/VU.png,118156.0,12189.0,12190.0,27.441,0.0238,0.0,182,0.0002
1980,french guiana,GF,https://s3.amazonaws.com/images.wpr.com/flags/24/GF.png,66825.0,83534.0,83534.0,3.7369,0.0249,0.0,183,0.0002
1980,french polynesia,PF,https://s3.amazonaws.com/images.wpr.com/flags/24/PF.png,163591.0,4167.0,3471.0,88.9865,0.0085,0.0,184,0.0001
1980,new caledonia,NC,https://s3.amazonaws.com/images.wpr.com/flags/24/NC.png,148599.0,18575.0,18280.0,16.028,0.0105,0.0,185,0.0001
1980,barbados,BB,https://s3.amazonaws.com/images.wpr.com/flags/24/BB.png,253575.0,430.0,430.0,655.8023,0.0013,0.0,186,0.0
1980,sao tome and principe,ST,https://s3.amazonaws.com/images.wpr.com/flags/24/ST.png,97210.0,964.0,960.0,241.5167,0.0197,0.0,187,0.0001
1980,samoa,WS,https://s3.amazonaws.com/images.wpr.com/flags/24/WS.png,164905.0,2842.0,2780.0,81.1802,0.0148,0.0,188,0.0001
1980,curacao,CW,https://s3.amazonaws.com/images.wpr.com/flags/24/CW.png,156851.0,444.0,444.0,432.6059,0.0048,0.0,189,0.0
1980,saint lucia,LC,https://s3.amazonaws.com/images.wpr.com/flags/24/LC.png,121633.0,616.0,610.0,295.4934,0.0022,0.0,190,0.0
1980,guam,GU,https://s3.amazonaws.com/images.wpr.com/flags/24/GU.png,110286.0,549.0,540.0,320.2815,0.0069,0.0,191,0.0
1980,kiribati,KI,https://s3.amazonaws.com/images.wpr.com/flags/24/KI.png,60813.0,811.0,810.0,164.8333,0.0174,0.0,192,0.0001
1980,grenada,GD,https://s3.amazonaws.com/images.wpr.com/flags/24/GD.png,94838.0,344.0,340.0,371.1265,0.0059,0.0,193,0.0
1980,micronesia,FM,https://s3.amazonaws.com/images.wpr.com/flags/24/FM.png,76299.0,702.0,700.0,164.6057,0.0093,0.0,194,0.0
1980,jersey,JE,https://s3.amazonaws.com/images.wpr.com/flags/24/JE.png,75124.0,116.0,120.0,931.6833,0.0092,0.0,195,0.0
1980,tonga,TO,https://s3.amazonaws.com/images.wpr.com/flags/24/TO.png,96708.0,747.0,720.0,149.6847,0.0086,0.0,196,0.0
1980,seychelles,SC,https://s3.amazonaws.com/images.wpr.com/flags/24/SC.png,65290.00000000001,452.0,460.0,234.0435,0.0051,0.0,197,0.0
1980,aruba,AW,https://s3.amazonaws.com/images.wpr.com/flags/24/AW.png,62267.0,180.0,180.0,590.4278,-0.0016,0.0,198,0.0
1980,saint vincent and the grenadines,VC,https://s3.amazonaws.com/images.wpr.com/flags/24/VC.png,107480.0,389.0,390.0,265.8923,-0.0024,0.0,199,0.0
1980,united states virgin islands,VI,https://s3.amazonaws.com/images.wpr.com/flags/24/VI.png,96640.0,347.0,347.0,284.5821,-0.0072,0.0,200,0.0
1980,antigua and barbuda,AG,https://s3.amazonaws.com/images.wpr.com/flags/24/AG.png,64888.99999999999,442.0,440.0,214.3136,0.0057,0.0,201,0.0
1980,isle of man,IM,https://s3.amazonaws.com/images.wpr.com/flags/24/IM.png,64022.00000000001,572.0,570.0,148.614,0.0023,0.0,202,0.0
1980,andorra,AD,https://s3.amazonaws.com/images.wpr.com/flags/24/AD.png,35611.0,468.0,470.0,170.4,0.0033,0.0,203,0.0
